"ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"14015478","JJ472920","10/31/2025 10:20:00 PM","060XX S STONY ISLAND AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","0331","003","5","42","03","1187908","1865310","2025","11/08/2025 03:44:52 PM","41.785496708","-87.586579934","POINT (-87.586579934 41.785496708)"
"14015724","JJ473316","10/31/2025 09:00:00 PM","054XX N LOTUS AVE","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","1623","016","45","11","06","1138850","1935863","2025","11/08/2025 03:44:52 PM","41.980131654","-87.764737257","POINT (-87.764737257 41.980131654)"
"14016301","JJ473920","10/31/2025 09:00:00 PM","049XX N ASHLAND AVE","0620","BURGLARY","UNLAWFUL ENTRY","NURSING / RETIREMENT HOME","false","false","2032","020","47","3","05","1164759","1933154","2025","11/08/2025 03:44:52 PM","41.972186583","-87.6695307","POINT (-87.6695307 41.972186583)"
"14015883","JJ473445","10/31/2025 09:00:00 PM","010XX N MARSHFIELD AVE","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","1213","012","1","24","06","1165210","1906914","2025","11/08/2025 03:44:52 PM","41.900173013","-87.668620438","POINT (-87.668620438 41.900173013)"
"14016581","JJ474344","10/31/2025 08:00:00 PM","063XX S DR MARTIN LUTHER KING JR DR","0330","ROBBERY","AGGRAVATED","STREET","false","false","0312","003","20","69","03","1180005","1863280","2025","11/08/2025 03:44:52 PM","41.780110888","-87.615617777","POINT (-87.615617777 41.780110888)"
"14015352","JJ472720","10/31/2025 07:30:00 PM","009XX N LAWNDALE AVE","033A","ROBBERY","ATTEMPT ARMED - HANDGUN","RESIDENCE","false","false","1112","011","27","23","03","1151542","1906106","2025","11/08/2025 03:44:52 PM","41.898235412","-87.718844894","POINT (-87.718844894 41.898235412)"
"14015792","JJ473408","10/31/2025 07:00:00 PM","029XX N NEENAH AVE","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","ALLEY","false","false","2511","025","36","19","06","1132241","1918827","2025","11/08/2025 03:44:52 PM","41.933500893","-87.789440749","POINT (-87.789440749 41.933500893)"
"14018615","JJ476800","10/31/2025 06:30:00 PM","004XX W DIVISION ST","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","1821","018","27","8","06","1173175","1908290","2025","11/08/2025 03:44:52 PM","41.903775756","-87.639324074","POINT (-87.639324074 41.903775756)"
"14015265","JJ472681","10/31/2025 06:20:00 PM","048XX W NELSON ST","0620","BURGLARY","UNLAWFUL ENTRY","RESIDENCE - GARAGE","false","false","2521","025","31","19","05","1143628","1919843","2025","11/08/2025 03:44:52 PM","41.936083041","-87.747568075","POINT (-87.747568075 41.936083041)"
"14015725","JJ473317","10/31/2025 06:00:00 PM","054XX N LOTUS AVE","0620","BURGLARY","UNLAWFUL ENTRY","RESIDENCE - GARAGE","false","false","1623","016","45","11","05","1138850","1935863","2025","11/08/2025 03:44:52 PM","41.980131654","-87.764737257","POINT (-87.764737257 41.980131654)"
"14017524","JJ475417","10/31/2025 05:30:00 PM","039XX W CHICAGO AVE","0320","ROBBERY","STRONG ARM - NO WEAPON","SIDEWALK","false","false","1112","011","37","23","03","1150161","1905059","2025","11/08/2025 03:44:52 PM","41.895389368","-87.723944549","POINT (-87.723944549 41.895389368)"
"14016536","JJ474295","10/31/2025 05:00:00 PM","056XX W DAKIN ST","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","1633","016","38","15","06","1138138","1925690","2025","11/08/2025 03:44:52 PM","41.952228961","-87.767602795","POINT (-87.767602795 41.952228961)"
"28937","JJ472469","10/31/2025 04:48:00 PM","013XX W GRENSHAW ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1231","012","28","28","01A","1167646","1895131","2025","11/08/2025 03:44:52 PM","41.867787447","-87.660012543","POINT (-87.660012543 41.867787447)"
"14015640","JJ473201","10/31/2025 04:45:00 PM","019XX N CLARK ST","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","1814","018","43","7","06","1174188","1913264","2025","11/08/2025 03:44:52 PM","41.917402098","-87.635454463","POINT (-87.635454463 41.917402098)"
"14015109","JJ472544","10/31/2025 04:30:00 PM","001XX N CENTRAL AVE","031A","ROBBERY","ARMED - HANDGUN","SIDEWALK","false","false","1512","015","29","25","03","1139022","1900581","2025","11/08/2025 03:44:52 PM","41.883310986","-87.764964866","POINT (-87.764964866 41.883310986)"
"14015651","JJ473230","10/31/2025 04:00:00 PM","010XX W 14TH PL","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","1232","012","25","28","06","1169625","1893228","2025","11/08/2025 03:44:52 PM","41.86252264","-87.652802708","POINT (-87.652802708 41.86252264)"
"14018750","JJ476989","10/31/2025 04:00:00 PM","096XX S EXCHANGE AVE","0610","BURGLARY","FORCIBLE ENTRY","APARTMENT","false","false","0431","004","10","51","05","1197438","1841642","2025","11/08/2025 03:44:52 PM","41.720317592","-87.552426947","POINT (-87.552426947 41.720317592)"
"14016156","JJ473746","10/31/2025 04:00:00 PM","037XX S SANGAMON ST","0620","BURGLARY","UNLAWFUL ENTRY","RESIDENCE","false","false","0915","009","11","60","05","1170702","1879953","2025","11/08/2025 03:44:52 PM","41.826071392","-87.649237363","POINT (-87.649237363 41.826071392)"
"14014994","JJ472426","10/31/2025 03:30:00 PM","072XX S WOOD ST","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","0735","007","17","67","03","1165604","1856661","2025","11/08/2025 03:44:52 PM","41.762265179","-87.668601552","POINT (-87.668601552 41.762265179)"
"14015167","JJ472402","10/31/2025 03:16:00 PM","026XX S EMERALD AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","SIDEWALK","false","false","0914","009","11","60","03","1171738","1886874","2025","11/08/2025 03:44:52 PM","41.845040532","-87.645233118","POINT (-87.645233118 41.845040532)"
"14015364","JJ472683","10/31/2025 03:00:00 PM","006XX E 51ST ST","0620","BURGLARY","UNLAWFUL ENTRY","APARTMENT","false","false","0223","002","20","38","05","1181337","1871334","2025","11/08/2025 03:44:52 PM","41.802181175","-87.610486247","POINT (-87.610486247 41.802181175)"
"14015586","JJ472714","10/31/2025 02:55:00 PM","001XX N WABASH AVE","031A","ROBBERY","ARMED - HANDGUN","CTA PLATFORM","false","false","0111","001","34","32","03","1176800","1900945","2025","11/08/2025 03:44:52 PM","41.883539463","-87.626231082","POINT (-87.626231082 41.883539463)"
"14015122","JJ472471","10/31/2025 02:40:00 PM","011XX W BERWYN AVE","0320","ROBBERY","STRONG ARM - NO WEAPON","CTA PLATFORM","false","false","2023","020","48","77","03","1167718","1935356","2025","11/08/2025 03:44:52 PM","41.978165506","-87.658586238","POINT (-87.658586238 41.978165506)"
"14015039","JJ472448","10/31/2025 02:00:00 PM","023XX E 75TH ST","031A","ROBBERY","ARMED - HANDGUN","STREET","false","false","0334","003","7","43","03","1193300","1855694","2025","11/08/2025 03:44:52 PM","41.758979509","-87.567124855","POINT (-87.567124855 41.758979509)"
"14016738","JJ474615","10/31/2025 01:00:00 PM","092XX S STONY ISLAND AVE","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","0413","004","8","48","06","1188402","1844127","2025","11/08/2025 03:44:52 PM","41.727356848","-87.58544391","POINT (-87.58544391 41.727356848)"
"14018125","JJ472224","10/31/2025 12:50:00 PM","037XX W CHICAGO AVE","033A","ROBBERY","ATTEMPT ARMED - HANDGUN","ALLEY","false","false","1112","011","27","23","03","1151088","1905077","2025","11/08/2025 03:44:52 PM","41.895420644","-87.720539406","POINT (-87.720539406 41.895420644)"
"14014948","JJ472216","10/31/2025 12:30:00 PM","056XX W CORCORAN PL","0320","ROBBERY","STRONG ARM - NO WEAPON","SIDEWALK","false","false","1512","015","29","25","03","1138861","1902003","2025","11/08/2025 03:44:52 PM","41.887216061","-87.765521526","POINT (-87.765521526 41.887216061)"
"14015619","JJ472217","10/31/2025 12:30:00 PM","010XX S CANAL ST","0330","ROBBERY","AGGRAVATED","DEPARTMENT STORE","false","false","0124","001","28","28","03","1173291","1895802","2025","11/08/2025 03:44:52 PM","41.869505349","-87.639268997","POINT (-87.639268997 41.869505349)"
"14015826","JJ473326","10/31/2025 12:00:00 PM","068XX S ASHLAND AVE","0610","BURGLARY","FORCIBLE ENTRY","CONVENIENCE STORE","false","false","0725","007","17","67","05","1166850","1859452","2025","11/08/2025 03:44:52 PM","41.76989754","-87.663955177","POINT (-87.663955177 41.76989754)"
"14014934","JJ472284","10/31/2025 11:00:00 AM","003XX W 102ND PL","0320","ROBBERY","STRONG ARM - NO WEAPON","ALLEY","false","false","0511","005","9","49","03","1175901","1836964","2025","11/08/2025 03:44:52 PM","41.70798952","-87.631450504","POINT (-87.631450504 41.70798952)"
"14014842","JJ472052","10/31/2025 10:17:00 AM","0000X W WASHINGTON ST","0340","ROBBERY","ATTEMPT STRONG ARM - NO WEAPON","SIDEWALK","true","false","0111","001","42","32","03","1175800","1900817","2025","11/08/2025 03:44:52 PM","41.883210775","-87.629906972","POINT (-87.629906972 41.883210775)"
"14014810","JJ472095","10/31/2025 10:00:00 AM","083XX S KINGSTON AVE","0620","BURGLARY","UNLAWFUL ENTRY","STREET","false","false","0423","004","7","46","05","1194621","1850172","2025","11/08/2025 03:44:52 PM","41.743794318","-87.562464878","POINT (-87.562464878 41.743794318)"
"14014939","JJ471996","10/31/2025 09:59:00 AM","118XX S EGGLESTON AVE","0610","BURGLARY","FORCIBLE ENTRY","RESIDENCE","false","false","0522","005","21","53","05","1175427","1826393","2025","11/08/2025 03:44:52 PM","41.678991699","-87.633500827","POINT (-87.633500827 41.678991699)"
"14014647","JJ471864","10/31/2025 07:45:00 AM","063XX N SPRINGFIELD AVE","031A","ROBBERY","ARMED - HANDGUN","SIDEWALK","false","false","1711","017","39","13","03","1149224","1941689","2025","11/08/2025 03:44:52 PM","41.995923242","-87.726433381","POINT (-87.726433381 41.995923242)"
"14014787","JJ471889","10/31/2025 07:30:00 AM","018XX S LAWNDALE AVE","0610","BURGLARY","FORCIBLE ENTRY","RESIDENCE","false","false","1014","010","24","29","05","1151995","1890655","2025","11/08/2025 03:44:52 PM","41.855827278","-87.717588186","POINT (-87.717588186 41.855827278)"
"14014972","JJ472302","10/31/2025 07:20:00 AM","069XX W SHAKESPEARE AVE","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","2512","025","29","25","06","1129948","1913602","2025","11/08/2025 03:44:52 PM","41.919202455","-87.797987447","POINT (-87.797987447 41.919202455)"
"14015657","JJ473214","10/31/2025 07:00:00 AM","005XX S KEDZIE AVE","031A","ROBBERY","ARMED - HANDGUN","CTA STATION","false","false","1134","011","24","27","03","1155124","1897334","2025","11/08/2025 03:44:52 PM","41.874093029","-87.705923992","POINT (-87.705923992 41.874093029)"
"14015378","JJ472804","10/31/2025 07:00:00 AM","053XX W NELSON ST","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","2514","025","31","19","06","1140302","1919762","2025","11/08/2025 03:44:52 PM","41.935922478","-87.759793585","POINT (-87.759793585 41.935922478)"
"14014596","JJ471841","10/31/2025 06:38:00 AM","108XX S DOTY AVE E","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","0513","005","10","51","06","1185924","1833265","2025","11/08/2025 03:44:52 PM","41.697608965","-87.594862321","POINT (-87.594862321 41.697608965)"
"14015214","JJ471812","10/31/2025 06:35:00 AM","023XX N Kedvale ave","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","2525","025","35","20","06","1148329","1915229","2025","11/08/2025 03:44:52 PM","41.92333237","-87.730410544","POINT (-87.730410544 41.92333237)"
